,Name,Date,Configuration,Verified,Rating,Heading,Review
1,Joy,2020-06-18,Fire TV Stick,True,5.0,This product is the best,"Thanku for launching this awesome thing
Very good price, product"
2,Manjeet Khatri,2020-06-18,Fire TV Stick,True,4.0,Great,Very good product for your simple TV to make a smart TV
3,Avinash Shirsat,2020-06-18,Fire TV Stick,True,5.0,Really Gud Product,"Everything works fine with voice control n all..
The installation is also very easy...
But U need a stable network to work smoothly all the contents..."
4,Bhaskar Ganguly,2020-06-18,Fire TV Stick,True,1.0,Expensive,Not worth the price
5,Amazon Customer,2020-06-18,Fire TV Stick,True,5.0,FIRESTICK LAGAO DISH BHAGAO,GENIUS PRODUCT
6,Prasad,2020-06-17,Fire TV Stick,True,5.0,Wonderful product,Very nice product...I am really enjoying it
7,maxportsss,2020-06-17,Fire TV Stick,True,4.0,Upgrade old tv to smart tv. Best soln.,"Nice product at this price, though it should have been a 4k at this price but again fire tv ui is far better than android boxes out there. Will recommend if you have a hd tv and planning to upgrade,instead use this if u only looking a new smart tv."
8,Prasenjit Chakraborty,2020-06-17,Fire TV Stick,True,5.0,Price drop like share market,Bought yesterday at 3999/- now it is 3199/-. This is not right.
9,Pratyush kumar,2020-06-17,Fire TV Stick,True,5.0,Good,Good product
10,Shriram,2020-06-17,Fire TV Stick,True,1.0,Made in China - don’t buy,Don’t buy this because it is made in China!!!
11,Mayank,2020-06-17,Fire TV Stick,True,5.0,Best TV stick on budget.,"Little slow but this can make any old non-smart TV smart. Worth every rupee.
Playback is fine and no lag at all.
Get on discount."
12,Kishan,2020-06-17,Fire TV Stick,True,2.0,Hanging and restarting since three days,"device is restarting when i was scrolling fast, may be os issue.
please resolve my issue"
13,bharat bararia,2020-06-17,Fire TV Stick,True,4.0,Remote faulty,The product is good but the remote stops to work just after 1 year when the warranty period expires.the cost of remote is 2000 and it cannot be repaired..so now using remote in mobile which is kind of cumbersome
14,Ajith dsouza,2020-06-17,Fire TV Stick,True,5.0,🔥,Awsme...go for it.
15,mac_kalyani,2020-06-17,Fire TV Stick,True,1.0,broken just after the replacement window is closed,"This fire stick is getting disconnected from power source more often and the replacement window is also closed now. How can it be repaired, of someone can help me"
16,JasRav,2020-06-17,Fire TV Stick,True,5.0,Best streaming device ever!,"This is my 4th buy for my 4th TV.
Best streaming device ever"
17,Manik Pradhan,2020-06-17,Fire TV Stick,True,4.0,Alexa voice search is unresponsive,"It's not working, beep sound is there but no response post speaking"
18,Amazon Customer,2020-06-17,Fire TV Stick,True,3.0,Over Heating Issue,my firestick is over heating that i just bought recently. Is it normal? Also it does not work with its original adapter. It keeps rebooting while showing - firestick optimizing system storage and applications.
19,Sahil,2020-06-17,Fire TV Stick,False,1.0,Bad,Bad
