name,s_no,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,total_per_m,death_per_m,tests,tests_per_m,population
USA,1,2313879.0,16689.0,121652.0,245.0,958234.0,2173.0,1233993.0,16531.0,6992.0,368.0,27555383.0,83263.0,330944050.0
Brazil,2,1043168.0,4600.0,49156.0,66.0,543186.0,22826.0,450826.0,8318.0,4909.0,231.0,2409830.0,11340.0,212512836.0
Russia,3,576952.0,7889.0,8002.0,161.0,334592.0,10186.0,234358.0,2300.0,3954.0,55.0,16661287.0,114171.0,145932745.0
India,4,403815.0,8003.0,13109.0,139.0,218969.0,4763.0,171737.0,8944.0,293.0,10.0,6616496.0,4796.0,1379567062.0
UK,5,303110.0,1295.0,42589.0,128.0,,,,379.0,4466.0,627.0,7714201.0,113652.0,67875356.0
Spain,6,293018.0,363.0,28322.0,7.0,,,,617.0,6267.0,606.0,4826516.0,103232.0,46754281.0
Peru,7,247925.0,,7660.0,,135520.0,,104745.0,1130.0,7523.0,232.0,1461266.0,44340.0,32956067.0
Italy,8,238275.0,264.0,34610.0,49.0,182453.0,546.0,21212.0,152.0,3941.0,572.0,4943825.0,81765.0,60464181.0
Chile,9,236748.0,5355.0,4295.0,202.0,196609.0,5118.0,35844.0,1951.0,12388.0,225.0,943593.0,49374.0,19111018.0
Iran,10,202584.0,2322.0,9507.0,115.0,161384.0,2192.0,31693.0,2842.0,2413.0,113.0,1395675.0,16624.0,83956634.0
Germany,11,190836.0,176.0,8960.0,,174400.0,,7476.0,376.0,2278.0,107.0,5029696.0,60037.0,83776217.0
Turkey,12,185245.0,,4905.0,,157516.0,,22824.0,769.0,2197.0,58.0,2863632.0,33966.0,84309377.0
Pakistan,13,171666.0,6604.0,3382.0,153.0,63504.0,2121.0,104780.0,111.0,778.0,15.0,1042787.0,4724.0,220732413.0
Mexico,14,170485.0,5030.0,20394.0,647.0,127332.0,4237.0,22759.0,378.0,1323.0,158.0,465867.0,3614.0,128888616.0
France,15,159452.0,,29617.0,,74117.0,,55718.0,727.0,2443.0,454.0,1384633.0,21214.0,65269418.0
Saudi Arabia,16,154233.0,3941.0,1230.0,46.0,98917.0,3153.0,54086.0,1955.0,4433.0,35.0,1248997.0,35896.0,34794765.0
Bangladesh,17,108775.0,3240.0,1425.0,37.0,43993.0,1048.0,63357.0,1.0,661.0,9.0,599579.0,3642.0,164636385.0
Canada,18,100959.0,330.0,8410.0,64.0,63450.0,447.0,29099.0,1990.0,2676.0,223.0,2339563.0,62005.0,37731670.0
South Africa,19,87715.0,,1831.0,,47825.0,,38059.0,208.0,1480.0,31.0,1260434.0,21261.0,59283506.0
